study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.392.200036.9116.2.5.1.37.2418751871.1573181976.738010,1.2.392.200036.9116.2.5.1.37.2418751871.1573182356.274039,Arterial,BAD,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,0.0,0.7,13.7,14.7,14.8,,LARGE_CENTROID_DIST: pancreas=15.2mm | L1=16.0mm | L2=19.0mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573181976.738010,1.2.392.200036.9116.2.5.1.37.2418751871.1573182495.4289,Venous,BAD,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,0.6,0.5,21.3,22.6,22.7,,LARGE_CENTROID_DIST: liver=20.2mm | spleen=22.6mm | kidney_L=21.5mm | kidney_R=20.7mm | pancreas=22.7mm | aorta=23.1mm | IVC=22.3mm | L1=19.1mm | L2=35.3mm | L3=20.8mm | spinal_cord=21.3mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573442981.375377,1.2.392.200036.9116.2.5.1.37.2418751871.1573443357.791448,Arterial,BAD,12.0,10.0,10.0,4.0,2.0,1.0,1.0,True,0.3,2.0,189.4,191.4,184.6,,LARGE_XY_RESIDUAL=189.4mm | LARGE_CENTROID_DIST: liver=187.4mm | kidney_R=191.4mm | pancreas=166.1mm | gallbladder=191.5mm | aorta=183.3mm | IVC=190.8mm | L1=184.6mm | L2=181.7mm | L3=177.9mm | spinal_cord=191.1mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573442981.375377,1.2.392.200036.9116.2.5.1.37.2418751871.1573443505.688591,Venous,BAD,12.0,10.0,10.0,4.0,2.0,1.0,1.0,True,1.1,1.6,192.4,194.7,188.0,,LARGE_XY_RESIDUAL=192.4mm | LARGE_CENTROID_DIST: liver=190.2mm | kidney_R=194.7mm | pancreas=170.1mm | gallbladder=196.6mm | aorta=185.7mm | IVC=196.2mm | L1=186.5mm | L2=183.1mm | L3=179.3mm | spinal_cord=197.9mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573604712.598232,1.2.392.200036.9116.2.5.1.37.2418751871.1573605068.552570,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.5,0.7,32.8,32.9,32.5,,LARGE_CENTROID_DIST: liver=32.7mm | spleen=32.9mm | kidney_L=32.8mm | kidney_R=32.8mm | pancreas=30.5mm | gallbladder=31.0mm | aorta=34.1mm | IVC=32.8mm | L1=32.9mm | L2=32.5mm | L3=32.2mm | spinal_cord=32.7mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573604712.598232,1.2.392.200036.9116.2.5.1.37.2418751871.1573605184.67969,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.2,1.5,41.2,42.2,40.6,,LARGE_XY_RESIDUAL=41.2mm | LARGE_CENTROID_DIST: liver=40.2mm | spleen=42.2mm | kidney_L=41.0mm | kidney_R=41.3mm | pancreas=39.0mm | gallbladder=38.0mm | aorta=40.9mm | IVC=40.7mm | L1=41.0mm | L2=40.6mm | L3=41.1mm | spinal_cord=41.3mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573609663.550134,1.2.392.200036.9116.2.5.1.37.2418751871.1573610053.733799,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,6.7,2.3,92.1,94.9,90.2,,LARGE_XY_RESIDUAL=92.1mm | LARGE_CENTROID_DIST: liver=95.1mm | spleen=92.8mm | kidney_L=93.8mm | kidney_R=87.8mm | pancreas=92.7mm | gallbladder=97.4mm | aorta=86.0mm | IVC=89.2mm | L1=85.6mm | L2=86.6mm | L3=87.9mm | spinal_cord=86.9mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573609663.550134,1.2.392.200036.9116.2.5.1.37.2418751871.1573610197.815054,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.5,1.5,14.5,16.1,14.1,,LARGE_CENTROID_DIST: spleen=16.5mm | kidney_R=15.1mm
1.2.392.200036.9116.2.5.1.37.2418751871.1573613878.909734,1.2.392.200036.9116.2.5.1.37.2418751871.1573614240.347822,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.0,0.2,9.6,11.4,10.5,,
1.2.392.200036.9116.2.5.1.37.2418751871.1573613878.909734,1.2.392.200036.9116.2.5.1.37.2418751871.1573614374.759012,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.7,0.7,12.1,13.7,12.4,,
1.2.392.200036.9116.2.5.1.37.2418751871.1573700569.639395,1.2.392.200036.9116.2.5.1.37.2418751871.1573700973.624800,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.9,0.7,5.6,6.1,6.3,,
1.2.392.200036.9116.2.5.1.37.2418751871.1573700569.639395,1.2.392.200036.9116.2.5.1.37.2418751871.1573701085.530197,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,0.7,0.5,21.1,21.5,21.2,,LARGE_CENTROID_DIST: liver=20.8mm | spleen=21.1mm | kidney_L=21.5mm | kidney_R=20.9mm | pancreas=20.9mm | gallbladder=22.0mm | aorta=21.3mm | IVC=22.5mm | L1=20.7mm | L2=21.2mm | L3=21.1mm | spinal_cord=20.8mm
1.2.392.200036.9116.2.5.1.37.2418751871.1574308298.505216,1.2.392.200036.9116.2.5.1.37.2418751871.1574308657.765101,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,4.1,3.8,34.7,44.1,32.0,,LARGE_CENTROID_DIST: liver=33.7mm | spleen=44.1mm | kidney_L=33.1mm | kidney_R=30.0mm | pancreas=34.5mm | gallbladder=40.6mm | aorta=25.8mm | IVC=34.0mm | L1=26.8mm | L2=27.0mm | L3=27.4mm | spinal_cord=27.1mm
1.2.392.200036.9116.2.5.1.37.2418751871.1574308298.505216,1.2.392.200036.9116.2.5.1.37.2418751871.1574308815.58753,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.4,1.1,39.2,41.2,38.0,,LARGE_CENTROID_DIST: liver=38.1mm | spleen=39.6mm | kidney_L=38.1mm | kidney_R=41.3mm | pancreas=37.6mm | gallbladder=37.3mm | aorta=37.6mm | IVC=35.9mm | L1=37.6mm | L2=38.1mm | L3=37.5mm | spinal_cord=37.9mm
1.2.392.200036.9116.2.5.1.37.2418751871.1574651082.95426,1.2.392.200036.9116.2.5.1.37.2418751871.1574651406.540758,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,6.6,0.8,68.3,70.5,67.9,,LARGE_XY_RESIDUAL=68.3mm | LARGE_CENTROID_DIST: liver=68.8mm | spleen=70.7mm | kidney_L=68.4mm | kidney_R=66.4mm | pancreas=68.2mm | gallbladder=68.6mm | aorta=66.7mm | IVC=68.0mm | L1=67.1mm | L2=67.0mm | L3=67.6mm | spinal_cord=67.0mm
1.2.392.200036.9116.2.5.1.37.2418751871.1574651082.95426,1.2.392.200036.9116.2.5.1.37.2418751871.1574651550.58008,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,1.4,0.6,24.1,24.7,24.9,,LARGE_CENTROID_DIST: liver=24.5mm | spleen=24.4mm | kidney_L=24.8mm | kidney_R=23.1mm | pancreas=24.0mm | gallbladder=25.0mm | aorta=25.3mm | IVC=25.8mm | L1=26.0mm | L2=25.9mm | L3=25.4mm | spinal_cord=24.9mm
1.2.392.200036.9116.2.5.1.37.2418751871.1574652927.757399,1.2.392.200036.9116.2.5.1.37.2418751871.1574653294.529158,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,3.9,1.4,16.5,16.9,16.0,,LARGE_CENTROID_DIST: liver=16.9mm | spleen=17.9mm | kidney_L=16.5mm | kidney_R=16.8mm | pancreas=15.2mm | gallbladder=16.3mm | IVC=17.3mm | L1=15.0mm | L2=15.1mm | L3=15.1mm | spinal_cord=15.2mm
1.2.392.200036.9116.2.5.1.37.2418751871.1574652927.757399,1.2.392.200036.9116.2.5.1.37.2418751871.1574653441.636174,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,2.4,1.1,15.8,16.2,16.5,,LARGE_CENTROID_DIST: liver=16.4mm | spleen=16.2mm | kidney_L=15.2mm | kidney_R=16.1mm | pancreas=16.8mm | gallbladder=15.2mm | aorta=19.6mm | IVC=18.3mm | L1=16.1mm | L2=16.2mm | L3=16.1mm | spinal_cord=16.2mm
1.2.392.200036.9116.2.5.1.37.2418751871.1574734831.134817,1.2.392.200036.9116.2.5.1.37.2418751871.1574735190.12206,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.1,1.9,45.2,46.7,44.6,,LARGE_XY_RESIDUAL=45.2mm | LARGE_CENTROID_DIST: liver=45.5mm | spleen=44.5mm | kidney_L=46.7mm | kidney_R=44.6mm | pancreas=44.0mm | gallbladder=40.5mm | aorta=45.3mm | IVC=46.2mm | L1=44.2mm | L2=44.4mm | L3=44.9mm | spinal_cord=44.3mm
1.2.392.200036.9116.2.5.1.37.2418751871.1574734831.134817,1.2.392.200036.9116.2.5.1.37.2418751871.1574735331.26278,Venous,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-1.6,1.5,8.0,9.4,8.9,,
1.2.392.200036.9116.2.5.1.37.2418751871.1574736893.449879,1.2.392.200036.9116.2.5.1.37.2418751871.1574737322.988342,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-0.7,2.3,27.3,28.9,28.5,,LARGE_CENTROID_DIST: liver=29.0mm | spleen=26.2mm | kidney_L=27.7mm | kidney_R=26.8mm | pancreas=29.0mm | gallbladder=28.6mm | aorta=28.2mm | IVC=36.0mm | L1=27.6mm | L2=27.7mm | L3=27.4mm | spinal_cord=27.4mm
