study_id,series_id,phase,status,nc_n_kabsch_organs,mov_n_kabsch_organs,common_kabsch_organs,common_bone_organs,common_anchor_organs,nc_det,mov_det,det_sign_match,z_offset_mean_mm,z_offset_std_mm,xy_mean_mm,xy_max_mm,mean_centroid_3d,seg_path,flags
1.2.840.113619.2.278.3.717616.260.1578649386.487,1.2.840.113619.2.278.3.717616.260.1578649386.755.11,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-2.3,2.4,3.5,4.4,7.6,,LARGE_CENTROID_DIST: IVC=30.8mm
1.2.840.113619.2.278.3.717616.260.1578649416.931,1.2.840.113619.2.278.3.717616.260.1578649417.37.4198401,Arterial,OK,11.0,12.0,11.0,4.0,4.0,1.0,1.0,True,-0.7,1.3,1.9,3.0,4.7,,
1.2.840.113619.2.278.3.717616.260.1578649416.931,1.2.840.113619.2.278.3.717616.260.1578649417.37.4202498,Venous,BAD,11.0,12.0,11.0,4.0,4.0,1.0,1.0,True,23.8,6.0,3.1,4.6,15.7,,LARGE_CENTROID_DIST: liver=33.5mm | spleen=23.0mm | kidney_L=17.0mm | kidney_R=22.6mm | pancreas=23.8mm
1.2.840.113619.2.278.3.717616.260.1578649417.892,1.2.840.113619.2.278.3.717616.260.1578649417.998.4198401,Arterial,OK,11.0,12.0,11.0,4.0,4.0,1.0,1.0,True,-7.0,2.7,1.1,1.9,8.8,,
1.2.840.113619.2.278.3.717616.260.1578649417.892,1.2.840.113619.2.278.3.717616.260.1578649417.998.4202498,Venous,BAD,11.0,12.0,11.0,4.0,4.0,1.0,1.0,True,24.6,4.2,1.0,1.6,19.6,,LARGE_CENTROID_DIST: liver=21.6mm | spleen=31.4mm | kidney_L=24.7mm | kidney_R=20.8mm | pancreas=23.1mm | IVC=19.8mm | L1=21.4mm | L2=19.7mm | L3=18.5mm
1.2.840.113619.2.278.3.717616.260.1578649418.868,1.2.840.113619.2.278.3.717616.260.1578649418.976.4202498,Venous,BAD,11.0,10.0,10.0,4.0,4.0,1.0,1.0,True,1.0,0.8,1.6,2.4,5.7,,LARGE_CENTROID_DIST: IVC=25.4mm
1.2.840.113619.2.278.3.717616.260.1578649418.868,1.2.840.113619.2.278.3.717616.260.1578649419.700.11,Arterial,BAD,11.0,11.0,11.0,4.0,4.0,1.0,1.0,True,-159.3,33.0,16.5,46.6,151.7,,BAD_Z_OFFSET=-159.3mm | LARGE_CENTROID_DIST: liver=120.8mm | spleen=151.5mm | kidney_L=202.1mm | kidney_R=172.6mm | pancreas=171.1mm | aorta=51.9mm | IVC=137.3mm | L1=183.8mm | L2=192.8mm | L3=195.1mm | spinal_cord=89.7mm
1.2.840.113619.2.278.3.717616.286.1587944966.46,1.2.840.113619.2.278.3.717616.286.1587944966.152.4198401,Arterial,OK,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-3.0,2.1,2.2,2.9,3.1,,
1.2.840.113619.2.278.3.717616.286.1587944966.46,1.2.840.113619.2.278.3.717616.286.1587944966.152.4202498,Venous,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,15.8,2.3,3.8,5.9,15.0,,LARGE_CENTROID_DIST: liver=19.2mm | spleen=18.4mm | kidney_R=15.1mm | pancreas=16.4mm | gallbladder=22.9mm | L1=15.4mm | L2=15.3mm | L3=15.2mm
1.2.840.113619.2.278.3.717616.286.1587944966.506,1.2.840.113619.2.278.3.717616.286.1587944966.605.4198401,Arterial,BAD,12.0,12.0,12.0,4.0,4.0,1.0,1.0,True,-9.1,0.7,1.3,1.7,9.3,,LARGE_CENTROID_DIST: IVC=22.5mm
